email,password,nickname,authProvider
user001@example.com,r4G!7pQ9,user001_cool87,MYAPP
user002@example.com,t2Y#vB1z,user002_lucky32,MYAPP
user003@example.com,u8K$nA5w,user003_fun15,MYAPP
user004@example.com,e1H^mC8x,user004_star91,MYAPP
user005@example.com,w6J&lD2y,user005_sky64,MYAPP
user006@example.com,q9F*kE7v,user006_blue28,MYAPP
user007@example.com,a3D(jF4u,user007_red55,MYAPP
user008@example.com,s7B)iG6t,user008_green79,MYAPP
user009@example.com,d5V+hH3s,user009_12302,MYAPP
user010@example.com,f8C=gI9r,user010_happy41,MYAPP
user011@example.com,g2X|fJ1q,user011_lucky68,MYAPP
user012@example.com,h4Z~eK3p,user012_cool23,MYAPP
user013@example.com,j6A`dLa,user013_fun59,MYAPP
user014@example.com,k8S{cM2o,user014_star86,MYAPP
user015@example.com,l1D}bN4n,user015_sky11,MYAPP
user016@example.com,z3F[aO6m,user016_blue47,MYAPP
user017@example.com,x7G]zP8l,user017_red72,MYAPP
user018@example.com,c5H;yQ1k,user018_green95,MYAPP
user019@example.com,v9J'xR3j,user019_12329,MYAPP
user020@example.com,b2K:wS5i,user020_happy58,MYAPP
user021@example.com,n4L,vT7h,user021_lucky83,MYAPP
user022@example.com,m6Z.uU9g,user022_cool07,MYAPP
user023@example.com,p8Q/tV2f,user023_fun34,MYAPP
user024@example.com,o1W?sW4e,user024_star61,MYAPP
user025@example.com,i3E>rX2d,user025_sky98,MYAPP
user026@example.com,u7R<qY8c,user026_blue14,MYAPP
user027@example.com,y5T'pZ1b,user027_red49,MYAPP
user028@example.com,t8Y'oA3a,user028_green76,MYAPP
user029@example.com,r2U"nB5z,user029_12393,MYAPP
user030@example.com,e4I!mC7y,user030_happy21,MYAPP
user031@example.com,w9O@lD9x,user031_lucky57,MYAPP
user032@example.com,q1P#kE2w,user032_cool89,MYAPP
user033@example.com,a6L$jF4v,user033_fun05,MYAPP
user034@example.com,s3K%iG6u,user034_star38,MYAPP
user035@example.com,d7J^hH8t,user035_sky65,MYAPP
user036@example.com,f5I&gI1s,user036_blue92,MYAPP
user037@example.com,g8H*fJ3r,user037_red27,MYAPP
user038@example.com,h2G(eK5q,user038_green54,MYAPP
user039@example.com,j4F)dL7p,user039_12381,MYAPP
user040@example.com,k7E+cM9o,user040_happy19,MYAPP
user041@example.com,l9D=bN2n,user041_lucky46,MYAPP
user042@example.com,z2C|aO4m,user042_cool73,MYAPP
user043@example.com,x4B~zP6l,user043_fun01,MYAPP
user044@example.com,c8A`yQ8k,user044_star36,MYAPP
user045@example.com,v1S{xR1j,user045_sky63,MYAPP
user046@example.com,b6R}wS3i,user046_blue99,MYAPP
user047@example.com,n3Q[vT5h,user047_red24,MYAPP
user048@example.com,m5P]uU7g,user048_green51,MYAPP
user049@example.com,p7O;tV9f,user049_12377,MYAPP
user050@example.com,o9N'sW2e,user050_happy12,MYAPP
user051@example.com,i2M"rX4d,user051_lucky48,MYAPP
user052@example.com,u4L!qY6c,user052_cool75,MYAPP
user053@example.com,y6K@pZ8b,user053_fun09,MYAPP
user054@example.com,t1J#oA1a,user054_star33,MYAPP
user055@example.com,r8I$nB3z,user055_sky69,MYAPP
user056@example.com,e3H%mC5y,user056_blue96,MYAPP
user057@example.com,w5G^lD7x,user057_red21,MYAPP
user058@example.com,q7F&kE9w,user058_green58,MYAPP
user059@example.com,a9E*jF2v,user059_12384,MYAPP
user060@example.com,s2D(iG4u,user060_happy16,MYAPP
user061@example.com,d4C)hH6t,user061_lucky43,MYAPP
